"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Apr-2024","EQ","8,850.00","8,864.00","8,545.25","8,775.45","8,580.00","8,563.10","8,649.07","9,023.00","3,227.85","2,10,012","1,81,64,09,157.25","29,930"
"05-Apr-2024","EQ","8,765.00","8,821.50","8,750.10","8,794.05","8,799.70","8,775.45","8,788.34","9,023.00","3,225.05","1,04,436","91,78,18,936.95","17,383"
"04-Apr-2024","EQ","8,909.95","8,939.95","8,702.00","8,838.30","8,825.00","8,794.05","8,806.19","9,023.00","3,225.05","1,50,707","1,32,71,54,583.80","29,937"
"03-Apr-2024","EQ","8,826.20","8,947.00","8,767.55","8,826.20","8,850.00","8,838.30","8,873.57","9,023.00","3,225.05","1,48,508","1,31,77,96,291.90","24,225"
"02-Apr-2024","EQ","8,860.00","8,950.00","8,750.00","8,949.65","8,825.00","8,826.20","8,829.30","9,023.00","3,225.05","2,05,259","1,81,22,93,982.95","31,865"
"01-Apr-2024","EQ","8,799.00","9,023.00","8,780.05","8,774.10","8,950.00","8,949.65","8,954.75","9,023.00","3,225.05","2,38,495","2,13,56,63,199.55","42,417"
"28-Mar-2024","EQ","8,802.25","8,894.00","8,722.25","8,802.25","8,761.00","8,774.10","8,816.82","8,894.00","3,199.25","2,43,381","2,14,58,46,374.60","31,467"
"27-Mar-2024","EQ","8,795.00","8,888.00","8,729.05","8,764.30","8,805.00","8,802.25","8,813.22","8,888.00","3,199.25","3,04,430","2,68,30,08,069.90","45,259"
"26-Mar-2024","EQ","8,350.00","8,810.00","8,300.00","8,378.95","8,729.05","8,764.30","8,636.71","8,810.00","3,199.25","5,05,302","4,36,41,46,387.10","60,816"
"22-Mar-2024","EQ","8,292.10","8,448.00","8,140.00","8,410.20","8,375.00","8,378.95","8,335.93","8,698.00","3,176.25","2,88,085","2,40,14,57,815.50","44,764"
"21-Mar-2024","EQ","8,321.05","8,450.00","8,263.10","8,241.80","8,410.30","8,410.20","8,364.06","8,698.00","3,176.25","2,47,898","2,07,34,34,221.25","39,853"
"20-Mar-2024","EQ","8,300.00","8,370.70","8,128.75","8,274.75","8,251.00","8,241.80","8,243.95","8,698.00","3,176.25","2,91,971","2,40,69,93,985.15","46,527"
"19-Mar-2024","EQ","8,600.00","8,645.00","8,249.60","8,614.10","8,290.00","8,274.75","8,424.02","8,698.00","3,176.25","4,05,472","3,41,57,05,495.30","57,386"
"18-Mar-2024","EQ","8,480.00","8,698.00","8,305.00","8,453.30","8,602.00","8,614.10","8,515.50","8,698.00","3,176.25","4,35,341","3,70,71,45,983.40","64,584"
"15-Mar-2024","EQ","8,470.20","8,483.95","8,145.00","8,470.20","8,446.00","8,453.30","8,359.12","8,619.20","3,150.20","5,03,281","4,20,69,87,312.10","74,476"
"14-Mar-2024","EQ","8,000.00","8,499.00","7,905.00","8,033.15","8,471.95","8,470.20","8,286.91","8,619.20","3,150.20","4,11,117","3,40,68,89,472.10","61,815"
"13-Mar-2024","EQ","8,370.00","8,416.90","7,960.00","8,270.40","8,030.00","8,033.15","8,194.58","8,619.20","3,150.20","4,84,645","3,97,14,61,413.10","73,659"
